시도,시군구,성별,연령구분, 2019년 ,,, 2020년 ,,, 2021년 ,,, 2022년 ,,, 2023년 ,,,,,
,,,,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,요양급여비용,입내원일수,환자수,,,
서울,강남구,남,0~9세," 40,861,180 ", 102 , 20 ," 5,787,650 ", 49 , 15 ," 3,319,480 ", 45 , 11 ," 114,922,350 ", 361 , 15 ," 16,000,710 ", 83 , 14 ,,,
서울,강남구,남,10~19세," 69,187,030 ", 701 , 162 ," 93,620,220 ", 599 , 153 ," 61,990,610 ", 625 , 158 ," 82,814,590 ", 650 , 146 ," 79,325,440 ", 591 , 151 ,,,
서울,강남구,남,20~29세," 144,184,550 "," 1,708 ", 461 ," 109,758,350 "," 1,420 ", 433 ," 144,223,450 "," 1,716 ", 504 ," 136,670,020 "," 1,678 ", 500 ," 148,977,240 "," 1,637 ", 491 ,,,
서울,강남구,남,30~39세," 407,115,310 "," 6,865 "," 1,846 "," 377,097,580 "," 6,419 "," 1,651 "," 408,584,330 "," 6,607 "," 1,746 "," 406,763,760 "," 6,123 "," 1,710 "," 375,036,320 "," 5,505 "," 1,557 ",,,
서울,강남구,남,40~49세," 1,059,677,060 "," 22,470 "," 5,352 "," 1,074,502,850 "," 20,803 "," 5,071 "," 1,236,425,670 "," 21,139 "," 5,048 "," 1,163,463,100 "," 20,196 "," 5,150 "," 1,304,828,650 "," 19,857 "," 4,925 ",,,
서울,강남구,남,50~59세," 1,869,815,400 "," 38,404 "," 9,360 "," 1,802,449,180 "," 35,373 "," 8,972 "," 2,032,292,520 "," 36,289 "," 9,030 "," 2,156,127,430 "," 36,739 "," 9,374 "," 2,184,970,710 "," 35,539 "," 9,204 ",,,
서울,강남구,남,60~69세," 2,208,171,560 "," 43,897 "," 10,728 "," 2,411,467,610 "," 42,775 "," 10,743 "," 2,775,905,940 "," 45,175 "," 11,280 "," 3,078,672,310 "," 46,090 "," 11,946 "," 3,065,995,780 "," 45,719 "," 12,106 ",,,
서울,강남구,남,70~79세," 1,523,395,600 "," 29,473 "," 6,873 "," 1,482,351,950 "," 28,749 "," 6,958 "," 1,752,981,080 "," 29,162 "," 7,114 "," 1,791,715,520 "," 29,453 "," 7,555 "," 1,855,889,330 "," 30,197 "," 7,764 ",,,
서울,강남구,남,80~89세," 498,874,730 "," 8,841 "," 1,875 "," 506,896,720 "," 8,914 "," 2,016 "," 518,134,200 "," 9,138 "," 2,255 "," 664,173,000 "," 10,611 "," 2,586 "," 661,907,270 "," 11,100 "," 2,729 ",,,
서울,강남구,남,90~99세," 29,292,210 ", 554 , 108 ," 54,097,020 ", 825 , 112 ," 60,873,920 ", 850 , 135 ," 51,273,630 ", 866 , 144 ," 89,251,780 ", 954 , 154 ,,,
서울,강남구,남,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강남구,여,0~9세," 6,615,030 ", 57 , 12 ," 4,271,420 ", 54 , 12 ," 13,862,480 ", 89 , 20 ," 13,750,310 ", 81 , 19 ," 7,912,190 ", 48 , 14 ,,,
서울,강남구,여,10~19세," 82,996,150 ", 691 , 157 ," 55,100,170 ", 488 , 114 ," 119,266,880 ", 602 , 118 ," 64,855,900 ", 511 , 122 ," 74,743,270 ", 570 , 143 ,,,
서울,강남구,여,20~29세," 112,984,600 "," 1,462 ", 430 ," 105,175,750 "," 1,216 ", 366 ," 127,262,110 "," 1,485 ", 469 ," 153,962,390 "," 1,574 ", 500 ," 274,974,640 "," 1,815 ", 480 ,,,
서울,강남구,여,30~39세," 232,132,340 "," 3,302 ", 911 ," 208,898,610 "," 3,046 ", 828 ," 240,751,860 "," 3,246 ", 911 ," 272,679,090 "," 3,242 ", 994 ," 339,361,570 "," 3,628 ", 999 ,,,
서울,강남구,여,40~49세," 371,062,660 "," 6,730 "," 1,718 "," 354,412,980 "," 6,200 "," 1,568 "," 455,283,080 "," 6,548 "," 1,738 "," 427,612,530 "," 6,485 "," 1,789 "," 443,660,950 "," 6,354 "," 1,759 ",,,
서울,강남구,여,50~59세," 994,379,590 "," 18,411 "," 4,530 "," 877,886,480 "," 16,111 "," 4,076 "," 972,238,770 "," 16,296 "," 4,233 "," 1,023,005,910 "," 16,121 "," 4,320 "," 1,077,902,210 "," 15,746 "," 4,191 ",,,
서울,강남구,여,60~69세," 1,552,656,660 "," 30,646 "," 7,441 "," 1,611,129,570 "," 29,279 "," 7,270 "," 1,849,795,550 "," 30,614 "," 7,678 "," 1,888,880,660 "," 30,357 "," 8,015 "," 2,087,969,820 "," 30,026 "," 7,885 ",,,
서울,강남구,여,70~79세," 1,344,701,970 "," 25,904 "," 6,042 "," 1,326,441,100 "," 25,125 "," 6,058 "," 1,494,242,570 "," 25,748 "," 6,230 "," 1,515,991,330 "," 25,453 "," 6,449 "," 1,703,071,580 "," 26,242 "," 6,656 ",,,
서울,강남구,여,80~89세," 532,123,350 "," 9,511 "," 2,137 "," 522,736,970 "," 8,938 "," 2,137 "," 596,585,880 "," 10,157 "," 2,345 "," 669,161,690 "," 11,401 "," 2,693 "," 778,475,570 "," 12,139 "," 2,868 ",,,
서울,강남구,여,90~99세," 83,078,120 "," 1,397 ", 209 ," 101,643,940 "," 1,471 ", 234 ," 129,680,490 "," 1,862 ", 264 ," 77,015,680 "," 1,435 ", 287 ," 115,258,180 "," 1,811 ", 324 ,,,
서울,강남구,여,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강동구,남,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강동구,남,10~19세," 41,086,620 ", 357 , 63 ," 33,950,730 ", 277 , 57 ," 87,430,510 ", 535 , 75 ," 58,324,670 ", 481 , 76 ," 40,207,350 ", 347 , 74 ,,,
서울,강동구,남,20~29세," 112,224,370 "," 1,029 ", 207 ," 97,966,820 "," 1,117 ", 193 ," 89,991,220 "," 1,262 ", 242 ," 95,986,550 "," 1,250 ", 242 ," 87,972,790 "," 1,142 ", 251 ,,,
서울,강동구,남,30~39세," 261,262,650 "," 4,030 ", 873 ," 353,496,000 "," 4,468 ", 911 ," 337,857,480 "," 4,908 "," 1,001 "," 343,545,490 "," 4,720 "," 1,002 "," 383,310,630 "," 4,609 ", 946 ,,,
서울,강동구,남,40~49세," 800,434,820 "," 14,209 "," 2,828 "," 862,032,310 "," 14,387 "," 2,804 "," 916,729,780 "," 15,098 "," 2,929 "," 902,624,650 "," 15,093 "," 3,034 "," 1,001,216,400 "," 15,445 "," 3,130 ",,,
서울,강동구,남,50~59세," 1,433,276,540 "," 30,295 "," 5,719 "," 1,439,991,310 "," 30,111 "," 5,607 "," 1,525,850,540 "," 30,884 "," 5,670 "," 1,733,333,920 "," 30,008 "," 5,640 "," 1,820,614,580 "," 30,047 "," 5,688 ",,,
서울,강동구,남,60~69세," 2,229,178,040 "," 43,258 "," 7,909 "," 2,315,905,380 "," 44,390 "," 7,975 "," 2,387,642,830 "," 46,651 "," 8,236 "," 2,324,038,480 "," 46,096 "," 8,437 "," 2,599,674,510 "," 47,843 "," 8,686 ",,,
서울,강동구,남,70~79세," 2,817,349,280 "," 44,766 "," 8,471 "," 3,095,738,560 "," 48,745 "," 9,816 "," 3,794,339,070 "," 51,712 "," 10,234 "," 3,614,564,960 "," 53,332 "," 10,173 "," 3,771,269,890 "," 55,046 "," 10,955 ",,,
서울,강동구,남,80~89세," 718,422,920 "," 11,304 "," 1,923 "," 764,168,500 "," 11,152 "," 2,026 "," 944,539,540 "," 12,320 "," 2,111 "," 849,867,220 "," 12,853 "," 2,326 "," 1,075,496,920 "," 14,224 "," 2,730 ",,,
서울,강동구,남,90~99세," 66,085,730 ", 898 , 194 ," 83,115,390 "," 1,142 ", 233 ," 181,350,290 "," 1,977 ", 293 ," 124,475,360 "," 1,777 ", 343 ," 187,523,440 "," 2,081 ", 417 ,,,
서울,강동구,남,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강동구,여,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강동구,여,10~19세," 23,509,620 ", 277 , 43 ," 33,074,430 ", 267 , 47 ," 42,729,680 ", 349 , 47 ," 40,726,290 ", 359 , 42 ," 58,967,340 ", 387 , 52 ,,,
서울,강동구,여,20~29세," 45,148,020 ", 595 , 126 ," 65,359,860 ", 691 , 162 ," 80,895,390 ", 867 , 181 ," 88,945,880 ", 939 , 197 ," 142,745,460 "," 1,173 ", 207 ,,,
서울,강동구,여,30~39세," 116,901,140 "," 1,606 ", 361 ," 110,060,880 "," 1,693 ", 385 ," 158,736,540 "," 2,171 ", 465 ," 155,935,410 "," 2,246 ", 478 ," 240,258,950 "," 2,569 ", 497 ,,,
서울,강동구,여,40~49세," 315,528,090 "," 5,528 "," 1,041 "," 308,606,490 "," 5,412 "," 1,059 "," 296,762,640 "," 5,812 "," 1,164 "," 317,585,870 "," 5,527 "," 1,114 "," 462,595,220 "," 5,772 "," 1,139 ",,,
서울,강동구,여,50~59세," 882,849,700 "," 18,736 "," 3,413 "," 910,282,300 "," 18,264 "," 3,224 "," 894,719,480 "," 18,182 "," 3,270 "," 901,072,190 "," 17,483 "," 3,226 "," 952,003,740 "," 17,170 "," 3,130 ",,,
서울,강동구,여,60~69세," 1,384,767,750 "," 33,032 "," 6,032 "," 1,572,810,640 "," 34,773 "," 6,166 "," 1,700,122,240 "," 37,258 "," 6,527 "," 1,777,966,470 "," 37,490 "," 6,626 "," 1,973,557,050 "," 37,467 "," 6,699 ",,,
서울,강동구,여,70~79세," 1,271,755,890 "," 28,283 "," 4,847 "," 1,206,437,080 "," 29,509 "," 5,033 "," 1,373,609,370 "," 31,372 "," 5,338 "," 1,498,865,370 "," 32,703 "," 5,702 "," 1,790,680,790 "," 35,218 "," 6,259 ",,,
서울,강동구,여,80~89세," 617,283,350 "," 12,582 "," 1,976 "," 603,957,620 "," 12,292 "," 2,050 "," 651,141,380 "," 12,638 "," 2,209 "," 845,737,780 "," 14,625 "," 2,473 "," 952,674,350 "," 16,163 "," 2,676 ",,,
서울,강동구,여,90~99세," 74,215,900 "," 1,330 ", 188 ," 89,748,090 "," 1,562 ", 220 ," 123,568,190 "," 1,689 ", 253 ," 75,803,150 "," 1,339 ", 269 ," 152,889,010 "," 2,025 ", 313 ,,,
서울,강동구,여,100세 이상, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강서구,남,0~9세, - , - , - , - , - , - , - , - , - , - , - , - , - , - , - ,,,
서울,강서구,남,10~19세," 13,601,420 ", 243 , 51 ," 15,160,990 ", 247 , 51 ," 32,481,670 ", 411 , 79 ," 51,737,040 ", 544 , 85 ," 26,097,480 ", 345 , 78 ,,,
서울,강서구,남,20~29세," 40,341,290 ", 692 , 151 ," 46,719,450 ", 768 , 171 ," 48,234,380 ", 992 , 204 ," 67,596,820 "," 1,097 ", 256 ," 76,212,910 "," 1,193 ", 266 ,,,
서울,강서구,남,30~39세," 175,716,310 "," 4,412 ", 946 ," 199,184,340 "," 4,782 ", 999 ," 223,554,640 "," 5,252 "," 1,052 "," 241,337,070 "," 5,485 "," 1,168 "," 300,400,400 "," 5,788 "," 1,216 ",,,
서울,강서구,남,40~49세," 455,086,070 "," 14,234 "," 2,808 "," 515,747,450 "," 14,928 "," 2,928 "," 603,735,650 "," 16,475 "," 3,139 "," 778,094,200 "," 17,439 "," 3,367 "," 857,207,830 "," 17,961 "," 3,454 ",,,
서울,강서구,남,50~59세," 768,056,190 "," 26,653 "," 4,921 "," 984,920,530 "," 27,789 "," 5,181 "," 1,031,163,280 "," 28,833 "," 5,240 "," 1,180,021,290 "," 29,790 "," 5,328 "," 1,385,487,080 "," 31,202 "," 5,608 ",,,
